label|disc|genus|model|atkin_lehner
text|integer|smallint|text|integer[]

10.23-[1,5]|10|4|[172*X[1]^10-224*X[1]^9*X[3]+574*X[1]^8*X[3]^2+78*X[1]^7*X[3]^3+957*X[1]^6*X[3]^4+356*X[1]^5*X[3]^5+2928*X[1]^4*X[3]^6+X[1]^3*X[2]*X[3]^2-1599*X[1]^3*X[3]^7+X[1]^2*X[2]*X[3]^3+3657*X[1]^2*X[3]^8-1588*X[1]*X[3]^9+X[2]^2+940*X[3]^10]|[1,5]
10.23-[1,23]|10|5|[-20*X[1]^12-120*X[1]^11*X[3]-318*X[1]^10*X[3]^2-490*X[1]^9*X[3]^3-451*X[1]^8*X[3]^4-185*X[1]^7*X[3]^5+62*X[1]^6*X[3]^6+94*X[1]^5*X[3]^7+X[1]^4*X[2]*X[3]^2-3*X[1]^4*X[3]^8-60*X[1]^3*X[3]^9+X[1]^2*X[2]*X[3]^4+29*X[1]*X[3]^11+X[2]^2+X[2]*X[3]^6+11*X[3]^12]|[1,23]
10.23-[1,2]|10|5|[80*X[1]^12-652*X[1]^10*X[3]^2+2135*X[1]^8*X[3]^4-3670*X[1]^6*X[3]^6+3690*X[1]^4*X[3]^8+X[1]^3*X[2]*X[3]^3-2212*X[1]^2*X[3]^10+X[2]^2+640*X[3]^12]|[1,2]
10.23-[1,46]|10|5|[11*X[1]^12-49*X[1]^11*X[3]+254*X[1]^10*X[3]^2-387*X[1]^9*X[3]^3+1597*X[1]^8*X[3]^4-1007*X[1]^7*X[3]^5+X[1]^6*X[2]+15073*X[1]^6*X[3]^6+X[1]^5*X[2]*X[3]-32659*X[1]^5*X[3]^7+X[1]^4*X[2]*X[3]^2+142651*X[1]^4*X[3]^8+X[1]^3*X[2]*X[3]^3-231800*X[1]^3*X[3]^9+454352*X[1]^2*X[3]^10-374400*X[1]*X[3]^11+X[2]^2+300800*X[3]^12]|[1,46]
10.23-[1]|10|9|[-43*X[1]^20+318*X[1]^19-1071*X[1]^18+3014*X[1]^17-10540*X[1]^16+28266*X[1]^15-72217*X[1]^14+81478*X[1]^13-62765*X[1]^12-68732*X[1]^11+18840*X[1]^10+68732*X[1]^9-62765*X[1]^8-81478*X[1]^7-72217*X[1]^6-28266*X[1]^5-10540*X[1]^4-3014*X[1]^3-1071*X[1]^2-318*X[1]-X[2]^2-43]|[1]
111.1-[1,111]|111|0|[X[2]^2-X[1]*X[3]]|[1,111]
111.1-[1,37]|111|3|[X[1]^8+5*X[1]^7*X[3]+10*X[1]^6*X[3]^2+10*X[1]^5*X[3]^3+X[1]^4*X[2]+9*X[1]^4*X[3]^4+X[1]^3*X[2]*X[3]+7*X[1]^3*X[3]^5+X[1]^2*X[2]*X[3]^2+4*X[1]^2*X[3]^6+X[1]*X[2]*X[3]^3+2*X[1]*X[3]^7+X[2]^2+X[2]*X[3]^4+X[3]^8]|[1,37]
111.1-[1,3]|111|4|[4*X[1]^10-4*X[1]^9*X[3]+17*X[1]^8*X[3]^2-28*X[1]^7*X[3]^3+42*X[1]^6*X[3]^4+X[1]^5*X[2]-61*X[1]^5*X[3]^5+X[1]^4*X[2]*X[3]+73*X[1]^4*X[3]^6+X[1]^3*X[2]*X[3]^2-57*X[1]^3*X[3]^7+X[1]^2*X[2]*X[3]^3+60*X[1]^2*X[3]^8+X[1]*X[2]*X[3]^4-33*X[1]*X[3]^9+X[2]^2+6*X[3]^10]|[1,3]
111.1-[1]|111|7|[-19*X[1]^16+44*X[1]^15+16*X[1]^14+2*X[1]^13-150*X[1]^12-94*X[1]^11+297*X[1]^10+170*X[1]^9-331*X[1]^8-170*X[1]^7+297*X[1]^6+94*X[1]^5-150*X[1]^4-2*X[1]^3+16*X[1]^2-44*X[1]-X[2]^2-19]|[1]
119.1-[1,119]|119|0|[X[2]^2-X[1]*X[3]]|[1,119]
119.1-[1,7]|119|4|[3*X[1]^10-3*X[1]^9*X[3]-5*X[1]^8*X[3]^2+X[1]^7*X[3]^3+17*X[1]^6*X[3]^4+X[1]^5*X[2]+2*X[1]^5*X[3]^5+X[1]^4*X[2]*X[3]-18*X[1]^4*X[3]^6-6*X[1]^3*X[3]^7+X[1]^2*X[2]*X[3]^3+12*X[1]^2*X[3]^8+X[1]*X[2]*X[3]^4+9*X[1]*X[3]^9+X[2]^2+X[2]*X[3]^5-4*X[3]^10]|[1,7]
119.1-[1,17]|119|5|[3*X[1]^12-2*X[1]^11*X[3]-20*X[1]^10*X[3]^2+33*X[1]^8*X[3]^4-31*X[1]^7*X[3]^5+X[1]^6*X[2]-64*X[1]^6*X[3]^6+47*X[1]^5*X[3]^7+X[1]^4*X[2]*X[3]^2+55*X[1]^4*X[3]^8+X[1]^3*X[2]*X[3]^3-50*X[1]^3*X[3]^9-21*X[1]^2*X[3]^10+34*X[1]*X[3]^11+X[2]^2+X[2]*X[3]^6+13*X[3]^12]|[1,17]
119.1-[1]|119|9|[-7*X[1]^20+150*X[1]^18-427*X[1]^16-3192*X[1]^14+10114*X[1]^12-255164*X[1]^10-1307614*X[1]^8-2945912*X[1]^6-3649275*X[1]^4-2559466*X[1]^2-X[2]^2-823543]|[1]
134.1-[1,134]|134|0|[X[2]^2-X[1]*X[3]]|[1,134]
134.1-[1,2]|134|3|[19*X[1]^8-53*X[1]^7*X[3]-21*X[1]^6*X[3]^2+143*X[1]^5*X[3]^3-5*X[1]^4*X[3]^4+X[1]^3*X[2]*X[3]-143*X[1]^3*X[3]^5+X[1]^2*X[2]*X[3]^2-5*X[1]^2*X[3]^6+56*X[1]*X[3]^7+X[2]^2+16*X[3]^8]|[1,2]
134.1-[1,67]|134|3|[-2*X[1]^8+2*X[1]^7*X[3]+13*X[1]^6*X[3]^2-14*X[1]^5*X[3]^3-20*X[1]^4*X[3]^4+X[1]^3*X[2]*X[3]+35*X[1]^3*X[3]^5+X[1]^2*X[2]*X[3]^2-13*X[1]^2*X[3]^6-32*X[1]*X[3]^7+X[2]^2+32*X[3]^8]|[1,67]
134.1-[1]|134|6|[-19*X[1]^14-8*X[1]^13+178*X[1]^12-138*X[1]^11-625*X[1]^10+940*X[1]^9+383*X[1]^8-1486*X[1]^7+383*X[1]^6+940*X[1]^5-625*X[1]^4-138*X[1]^3+178*X[1]^2-8*X[1]-X[2]^2-19]|[1]
14.3-[1]|14|3|[-7*X[1]^4+22*X[1]^2-X[2]^2+1,-9*X[1]^2-X[3]^2-2]|[1]
14.3-[1,14]|14|0|[9*X[1]^2+18*X[2]^2+X[3]^2]|[1,14]
14.3-[1,21]|14|1|[X[2]^2-X[1]*X[3],-81/49*X[1]^2+26/49*X[2]^2+7/81*X[3]^2+X[4]^2]|[1,21]
14.3-[1,2]|14|1|[X[2]^2-X[1]*X[3],1/567*X[1]^2+226/3969*X[2]^2+7/81*X[3]^2+X[4]^2]|[1,2]
14.3-[1,42]|14|1|[X[2]^2-X[1]*X[3],-81/49*X[1]^2-22/49*X[2]^2+1/567*X[3]^2+X[4]^2]|[1,42]
14.3-[1,3]|14|2|[2*X[1]^6+6*X[1]^5*X[3]+21*X[1]^4*X[3]^2+32*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]+34*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2+19*X[1]*X[3]^5+X[2]^2+X[2]*X[3]^3+3*X[3]^6]|[1,3]
14.3-[1,6]|14|2|[2*X[1]^6+6*X[1]^5*X[3]-X[1]^4*X[3]^2-12*X[1]^3*X[3]^3-83*X[1]^2*X[3]^4-76*X[1]*X[3]^5+X[2]^2-115*X[3]^6]|[1,6]
14.3-[1,7]|14|2|[-7*X[1]^6-21*X[1]^5*X[3]-86*X[1]^4*X[3]^2-137*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]-146*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2-81*X[1]*X[3]^5+X[2]^2-27*X[3]^6]|[1,7]
14.5-[1,14]|14|0|[-X[2]^2+X[1]*X[3]]|[1,14]
14.5-[1,10]|14|1|[X[2]^2-X[1]*X[3],23*X[1]^2+1168/7*X[1]*X[2]+13802/49*X[2]^2-36688/343*X[2]*X[3]-16721/2401*X[3]^2+X[4]^2]|[1,10]
14.5-[1,2]|14|1|[X[2]^2-X[1]*X[3],23*X[1]^2-180*X[1]*X[2]+450*X[2]^2-708*X[2]*X[3]+1439*X[3]^2+X[4]^2]|[1,2]
14.5-[1,5]|14|1|[X[2]^2-X[1]*X[3],23*X[1]^2+274458/1271*X[1]*X[2]+445870093/3230882*X[2]^2+75751624885/4106451022*X[2]*X[3]-105061922739001/41754393991696*X[3]^2+X[4]^2]|[1,5]
